1501	18/25	Lichtenberg	Friedrichsfelde nördl. Rummelsburger Str. / Zachertstr.				M/E	W	1,0		330	W	1,0		450	
1511	11	Pankow	Pankow Arnold-Zweig-Str. / Neumannstr.				M/E	W	1,0		340	W	1,0		550	
2058	12/18	Pankow	Weißensee Otto-Brahm-Str.				M	W	1,0		340	W	1,0		550	
1495	11,12	Pankow	Heinersdorf Romain-Rolland-Str./Berliner Str.				M	W	1,0		340	W	1,0		450	
1478	18	Lichtenberg	Alt- Genslerstr. / Altenhofer Str. / Biesensthaler				E/M	W	1,0		340	W	1,0		450	
""			Hohenschönhausen Str.													
1471	11	Pankow	Pankow Prenzlauer Chaussee / Galenusstr.				M	W	1,0		340	W	1,0		550	
1490	11/12	Pankow	Weißensee Pistoriusstr. / Gäblerstr./ Frieda - Seidlitz -				M	W	1,0		340	W	1,0		550	
""			Straße													
1621	9	Spandau	Hakenfelde Schäferstr.				E	W	1,0		350	W	1,0		450	
1182	39	Tempelhof-	Lichtenrade Bornhagenweg				M/E	W	1,0		350	W	1,0		450	
""		Schöneberg														
1337	30	Steglitz-Zehlendorf	Lichterfelde Telefunkenkaserne, nördl. Goerzallee				M	W	1,0		350	W	1,0		500	
1312	15	Spandau	Spandau Altonaer Str. / Grünhofer Weg				E	W	1,0		350	W	1,0		450	
2167	9	Spandau	Haselhorst Ruppiner-See-Str. / nördl. Rhenaniastr.					W	1,0		350	W	1,0		450	
1523	11	Pankow	Niederschönhausen Rolandstr. / Schloßallee				M	W	1,0		350	W	1,0		600	
2238	8/9	Spandau	Falkenhagener Feld südl. Griesinger Str.		W	1,0	350	W	1,0	450	Änderung der BRW-Zone
1160	9/15	Spandau	Falkenhagener Feld Falkenhagener Feld	M	W	1,0	350	W	1,0	450	
1167	24	Tempelhof-	Tempelhof Oberlandstr. / Schaffhausener Str. /	M	W	1,0	350	W	1,0	450	
""		Schöneberg	Holzmannstr.								
1190	39	Tempelhof-	Lichtenrade Lichtenrader Damm / John-Locke-Str.	M	W	1,0	350	W	1,0	450	
""		Schöneberg									
1171	39	Tempelhof-	Lichtenrade Nahariyastr. / Skarbinastr.	E	W	1,0	350	W	1,0	450	
""		Schöneberg									
1302	15	Spandau	Wilhelmstadt Jordanstr.	E	W	1,0	350	W	1,0	450	
1487	33	Treptow-Köpenick	Köpenick Wendenschloßstr. / Dregerhoffstr.	M	W	1,0	350	W	1,0	500	
1482	33	Treptow-Köpenick	Köpenick Wendenschloßstr. / Segewaldweg	M	W	1,0	350	W	1,0	500	
1202	32	Neukölln	Gropiusstadt Gropiusstadt	E	W	1,0	350	W	1,0	450	
1210	5, 6	Reinickendorf	Märkisches Viertel Märkisches Viertel	M	W	1,0	350	W	1,0	450	
1219	30	Steglitz-Zehlendorf	Lichterfelde Goerzallee, gegenüber Parkfriedhof	E	W	1,0	350	W	1,0	500	
""			Lichterfelde								
1257	15	Spandau	Falkenhagener Feld An der Kappe / Borkzeile	M	W	1,0	350	W	1,0	450	
1284	15	Spandau	Wilhelmstadt Sandstr. / Gruberzeile	E	W	1,0	350	W	1,0	450	
1298	15	Spandau	Wilhelmstadt Gatower Str. / Graetschelsteig / Am	E	W	1,0	350	W	1,0	450	
""			Omnibusbahnhof								
1266	9	Spandau	Hakenfelde Streitstr. / Hakenfelde	M	W	1,0	360	W	1 0 ,	450	Änderung der BRW-Zone
2278	10, 11	Mitte	Wedding Themsestr./ Schwyzer Str		M/E	W	1,0	360	W	1,0	500	
1505	12/18	Pankow	Weißensee Falkenberger Str. / Hansastr.		M	W	1,0	370	W	1,0	600	Änderung der BRW-Zone, s. 1516
1527												
1428	10	Reinickendorf	Reinickendorf Kienhorststr. / Auguste-Viktoria-Allee /		E	W	1,0	380	W	1,0	500	
""			Scharnweberstr.									
1525	11	Pankow	Pankow Stiftsweg / Bleicheroder Str.		M	W	1,0	380	W	1,0	650	
1534	11	Pankow	Pankow Kissingenplatz / Gemündener Str.		M	W	1,0	380	W	1,0	650	
1536	11	Pankow	Pankow Tiroler Str. / Brixener Str.		M/E	W	1,0	380	W	1,0	650	
1417	25	Neukölln	Neukölln Dammweg/Aronstr.		E	W	1,0	380	W	1,0	500	
1270	9	Spandau	Hakenfelde Cautiusstr. / Am Forstacker		M	W	1,0	380	W	1,0	500	
1325	9/15	Spandau	Haselhorst Gartenfelder Str. / Haselhorster Damm		E	W	1,0	380	W	1,0	500	
2227	9	Spandau	Haselhorst Rhenaniastr. / Daumstr.		E	W	1,0	380	W	1,0	500	
2228												
1328	10/16	Spandau	Siemensstadt Rohrdamm / Rieppelstr.		M/E	W	1,0	380	W	1,0	500	
1281	9	Spandau	Falkenhagener Feld Wasserwerkstr .		M	W	1 0 ,	380	W	1 0 ,	500	Änderung der BRW-Zone
1339	14/15	Spandau	Staaken beiders. Brunsbütteler Damm		E	W	1,0	380	W	1,0	500	
2290	31	Neukölln	Buckow Rufacher Weg		E	W	1,0	390	W	1,0	500	
1547	6/11	Pankow	Niederschönhausen beiders. Dietzgenstr. / um Pastor-Niemöller-		G/E	W	1,0	390	W	1,0	650	
1627			Platz/Nordendstr. / Bauernwiesen									
1353	25/31/32	Neukölln	Britz	Jahnstr. / Britzer Damm / Holzmindener Str. /	M/E	W	1,0	390	W	1,0	500	
""				Franz-Körner-Str.								
1358	31	Neukölln	Britz	Britzer Damm / Koppelweg	E/M	W	1,0	390	W	1,0	500	
1370	31/32/39	Neukölln	Buckow	Buckower Damm / Gerlinger Str. / Christoph-	E	W	1,0	390	W	1,0	500	
""				Ruden-Str.								
2208	18	Pankow	Prenzlauer Berg	Eldenaer Str./ENT Alter Schlachthof	M/E	W	1,0	390	W	1,0	700	
2199												
1373	39	Neukölln	Buckow	Gerlinger Str. / Ernst-Arndt-Weg	E	W	1,0	390	W	1,0	500	
1391	10	Mitte	Wedding	Windhuker Str. / Togostr.	E	W	1,0	390	W	1,0	550	
1387	32	Neukölln	Britz	Buschkrugallee / Rudower Str.	E/M	W	1,0	390	W	1,0	500	
2289	31/39	Neukölln	Buckow	Tropfsteinweg/Sandsteinweg/Marienf. Ch.	M/E	W	1,0	390	W	1,0	500	
1344	31/39	Tempelhof-	Lichtenrade	Richard-Tauber-Damm / Föttinger Zeile	E	W	1,0	390	W	1,0	500	
""		Schöneberg										
1473	10	Reinickendorf	Tegel	Bernauer Str. / Stockumer Str.	M	W	1,0	400	W	1,0	500	
1477	24	Tempelhof-	Tempelhof	Hoeppnerstr. / Hessenring	M	W	1,0	400	W	1,0	600	
""		Schöneberg										
1483	24/31	Tempelhof-	Tempelhof	Alboinstr. / Bosestr. / Wittekindstr.	M	W	1,0	400	W	1,0	600	
""		Schöneberg										
1489	31	Tempelhof-	Mariendorf	Mariendorfer Damm / Kurfürstenstr. /	E/M	W	1,0	400	W	1,0	500	
""		Schöneberg		Eisenacher Str. / Dardanellenweg								
2202	9	Spandau	Hakenfelde	nördl. /südl. Nordhafen/ östl. Streitstr.	M/E	W	1,0	400	W	1,0	500	
1516	12/18	Lichtenberg	Alt -	Orankestr .	M	W	1 0 ,	400	W	1 0 ,	0	BRW-Zone entfällt und geht in
1437	10	Reinickendorf	Wittenau	Oranienburger Str. / Blunckstr.	M	W	1,0	400	W	1,0	500
1398	30/38	Steglitz-Zehlendorf	Lichterfelde	Ostpreußendamm	M	W	1,0	400	W	1,0	550
1405	30	Steglitz-Zehlendorf	Lichterfelde	Goerzallee / Ortlerweg	M	W	1,0	400	W	1,0	550
1413	31	Tempelhof-	Mariendorf	beiders. Tauernallee	M	W	1,0	400	W	1,0	500
""		Schöneberg									
1432	5	Reinickendorf	Waidmannslust	Schluchseestr. / Titiseestr.	M	W	1,0	400	W	1,0	500
1465	10,11	Reinickendorf	Reinickendorf	Lindauer Allee / Emmentaler Str. /	E	W	1,0	400	W	1,0	500
""				Reginhardstr.							
1441	5	Reinickendorf	Wittenau	Bernshausener Ring	E	W	1,0	400	W	1,0	500
1444	10	Reinickendorf	Reinickendorf	Waldstr. / Siedelmeisterweg	E	W	1,0	400	W	1,0	500
1448	5	Reinickendorf	Wittenau	Cyclopstr.	M	W	1,0	400	W	1,0	500
1456	25	Neukölln	Neukölln	Neuköllnische Allee / Sonnenallee	E	W	1,0	400	W	1,0	500
1464	5,10	Reinickendorf	Borsigwalde	Gorkistr. / Ernststr. / Ziekowstr.	E/M	W	1,0	400	W	1,0	500
1541	6/11	Pankow	Rosenthal	Lessingstr. / Uhlandstr. / Kopenhagener Str.	G/M	W	1,0	400	W	1,0	450
1618											
2087	25	Lichtenberg	Rummelsburg	südl. Hauptstr. - bis zur		W	1,0	420	W	1,0	650
""				Untersuchungsanstalt -							
1491	38	Steglitz-Zehlendorf	Zehlendorf	Windsteiner Weg / Zehlendorf Süd	M	W	1,0	420	W	1,0	550
1499	16	Charlottenburg-	Charlottenburg	Heilmannring / Paul-Hertz-Siedlung /	M/E	W	1,0	420	W	1,0	550
""		Wilmersdorf		Charlottenburg-Nord							
1515	31	Steglitz-Zehlendorf	Steglitz	Steglitzer Damm / Kelchstr.	M	W	1,0	520	W	1,0	650
